-,-,-,-,-,-,-,-,-,-,-,-





'a'













0.24,0.95,-0.03,1.28,1.16,-0.55,0.98,1.81,9,616,6,22
0.24,0.95,-0.04,1.40,0.98,-0.61,0.98,1.82,9,615,9,21
0.24,0.95,-0.03,1.28,1.10,-0.67,0.98,1.82,9,614,8,21
0.24,0.95,-0.03,1.28,1.16,-0.55,0.98,1.81,9,615,8,23
0.24,0.95,-0.03,1.46,1.16,-0.49,0.98,1.93,9,616,8,21
0.24,0.95,-0.03,1.22,0.92,-0.67,0.98,1.67,9,615,8,19
0.24,0.95,-0.03,1.28,1.16,-0.55,0.98,1.81,9,616,7,22
0.24,0.95,-0.03,0.98,0.79,-0.55,0.98,1.37,9,616,7,23
0.24,0.95,-0.03,1.34,1.10,-0.61,0.98,1.84,9,616,8,22
0.24,0.95,-0.03,1.28,1.16,-0.67,0.98,1.85,9,616,7,20
0.24,0.95,-0.03,1.46,1.16,-0.67,0.98,1.99,9,616,7,22
0.24,0.95,-0.03,1.53,1.04,-0.43,0.98,1.89,9,615,7,21
0.24,0.95,-0.03,1.59,1.04,-0.55,0.98,1.97,9,617,6,21
0.24,0.95,-0.03,1.28,1.28,-0.49,0.98,1.88,10,613,8,19
0.24,0.95,-0.03,1.22,1.04,-0.49,0.98,1.67,9,617,6,22
0.24,0.95,-0.03,1.46,1.28,-0.61,0.98,2.04,9,615,7,21
0.24,0.95,-0.03,1.22,1.22,-0.61,0.98,1.83,10,615,6,21
0.24,0.95,-0.03,1.46,1.10,-0.61,0.98,1.93,10,616,6,21
0.24,0.95,-0.03,1.04,0.98,-0.55,0.98,1.53,10,616,8,23
0.24,0.95,-0.03,1.40,1.16,-0.61,0.98,1.92,10,617,7,21
0.24,0.95,-0.04,1.10,0.98,-0.73,0.98,1.64,9,615,7,21
0.24,0.95,-0.03,1.28,1.28,-0.55,0.98,1.89,9,615,6,21
0.24,0.95,-0.03,1.34,1.16,-0.67,0.98,1.90,9,617,6,22
0.24,0.96,-0.03,1.34,1.16,-0.61,0.98,1.88,9,615,7,21
0.24,0.95,-0.03,1.40,1.22,-0.61,0.98,1.96,9,614,9,21
0.24,0.95,-0.03,1.53,1.04,-0.55,0.98,1.93,9,613,8,21
0.24,0.95,-0.03,1.53,1.16,-0.61,0.98,2.01,9,615,7,23
0.24,0.95,-0.03,1.46,1.16,-0.61,0.98,1.97,9,615,8,21
0.24,0.95,-0.03,1.34,1.16,-0.61,0.98,1.88,10,614,7,21
0.24,0.95,-0.03,1.28,1.10,-0.55,0.98,1.78,10,615,8,24
0.24,0.95,-0.03,1.28,1.10,-0.55,0.98,1.78,9,615,6,22
0.24,0.95,-0.03,0.98,1.04,-0.61,0.98,1.55,10,616,8,20
0.24,0.95,-0.03,1.16,1.22,-0.73,0.98,1.84,10,615,6,22
0.24,0.95,-0.03,1.28,1.22,-0.73,0.98,1.92,9,617,6,21
0.24,0.95,-0.03,1.53,1.10,-0.73,0.98,2.02,10,616,8,20
0.24,0.95,-0.03,1.28,1.28,-0.67,0.98,1.93,9,616,8,22
0.24,0.95,-0.03,1.40,1.10,-0.67,0.98,1.90,10,617,6,21
0.24,0.95,-0.03,1.46,0.98,-0.61,0.98,1.86,9,615,7,21
0.24,0.95,-0.03,1.28,1.10,-0.61,0.98,1.80,9,615,6,21
0.24,0.95,-0.03,1.40,1.22,-0.55,0.98,1.94,10,615,7,22
0.24,0.95,-0.03,1.40,0.98,-0.49,0.98,1.78,10,615,9,20
0.24,0.95,-0.03,1.53,1.04,-0.61,0.98,1.94,9,615,6,22
0.24,0.95,-0.03,1.16,0.98,-0.61,0.98,1.63,9,615,9,20
0.24,0.95,-0.03,1.40,1.16,-0.55,0.98,1.90,9,616,6,21
0.24,0.95,-0.03,1.22,1.28,-0.61,0.98,1.87,9,617,7,23
0.24,0.95,-0.03,1.40,1.28,-0.61,0.98,2.00,9,616,8,20
0.24,0.95,-0.03,1.16,1.16,-0.67,0.98,1.77,9,616,8,20
0.24,0.95,-0.03,1.46,1.16,-0.61,0.98,1.97,10,616,7,23
0.24,0.95,-0.03,1.40,1.28,-0.73,0.98,2.04,9,615,9,20
0.24,0.95,-0.03,1.22,1.04,-0.67,0.98,1.74,9,615,7,22
0.24,0.95,-0.03,1.22,1.34,-0.61,0.98,1.91,9,617,7,20
0.24,0.95,-0.04,1.16,1.22,-0.61,0.98,1.79,9,618,8,19
0.24,0.95,-0.03,1.28,1.16,-0.43,0.98,1.78,10,616,7,20
0.24,0.95,-0.03,1.04,1.22,-0.67,0.98,1.74,9,616,7,20
