-,-,-
s
86.11,-5.51,180.70
86.11,-5.51,180.71
86.12,-5.51,180.71
86.11,-5.51,180.72
86.11,-5.51,180.73
86.11,-5.51,180.73
86.11,-5.51,180.73
86.11,-5.51,180.74
86.11,-5.51,180.74
86.12,-5.52,180.74
86.12,-5.51,180.75
86.12,-5.52,180.75
86.12,-5.51,180.75
86.12,-5.51,180.75
86.12,-5.51,180.75
86.13,-5.51,180.75
86.13,-5.51,180.75
86.13,-5.51,180.76
86.13,-5.51,180.77
86.14,-5.51,180.77
86.14,-5.51,180.78
86.12,-5.51,180.76
86.11,-5.51,180.76
86.11,-5.51,180.75
86.10,-5.51,180.75
86.10,-5.51,180.75
86.09,-5.51,180.75
86.10,-5.51,180.75
86.11,-5.51,180.75
86.11,-5.51,180.76
86.11,-5.51,180.76
86.11,-5.51,180.77
86.12,-5.51,180.77
86.12,-5.51,180.77
86.11,-5.51,180.77
86.11,-5.51,180.77
86.11,-5.50,180.77
86.10,-5.50,180.77
86.10,-5.50,180.77
86.10,-5.50,180.77
86.09,-5.50,180.77
86.09,-5.50,180.77
86.09,-5.50,180.77
86.08,-5.50,180.77
86.08,-5.50,180.77
86.09,-5.50,180.77
86.08,-5.50,180.76
86.08,-5.51,180.76
86.08,-5.51,180.76
86.08,-5.50,180.76
86.08,-5.50,180.75
86.08,-5.50,180.76
86.09,-5.50,180.77
86.10,-5.50,180.78
86.11,-5.50,180.78
86.12,-5.50,180.79
86.12,-5.50,180.81
86.12,-5.51,180.81
86.12,-5.51,180.81
86.12,-5.50,180.80
86.11,-5.50,180.80
86.10,-5.50,180.80
86.10,-5.50,180.80
86.10,-5.51,180.80
86.09,-5.51,180.79
86.09,-5.51,180.79
86.08,-5.51,180.78
86.07,-5.51,180.78
86.07,-5.51,180.78
86.06,-5.51,180.78
86.06,-5.51,180.78
86.06,-5.51,180.77
86.05,-5.51,180.78
86.05,-5.51,180.78
86.05,-5.51,180.77
86.04,-5.51,180.77
86.04,-5.51,180.77
86.04,-5.51,180.76
86.03,-5.51,180.76
86.03,-5.51,180.75
86.03,-5.51,180.76
86.03,-5.51,180.76
86.03,-5.51,180.76
86.03,-5.51,180.76
86.03,-5.51,180.76
86.04,-5.51,180.76
86.05,-5.51,180.77
86.05,-5.51,180.77
86.06,-5.51,180.78
86.06,-5.51,180.79
86.06,-5.51,180.79
86.07,-5.51,180.80
86.08,-5.51,180.80
86.08,-5.51,180.80
86.08,-5.51,180.80
86.08,-5.51,180.80
86.09,-5.51,180.80
86.09,-5.51,180.81
86.09,-5.51,180.81
86.09,-5.51,180.81
86.09,-5.51,180.81
86.09,-5.50,180.81
86.09,-5.50,180.81
86.09,-5.50,180.81
86.09,-5.50,180.81
86.09,-5.50,180.81
86.09,-5.50,180.81
86.08,-5.51,180.82
86.07,-5.50,180.82
86.07,-5.50,180.83
86.07,-5.50,180.83
86.07,-5.50,180.82
86.07,-5.50,180.82
86.08,-5.50,180.81
86.08,-5.50,180.81
86.08,-5.50,180.81
86.08,-5.50,180.82
86.08,-5.50,180.81
86.08,-5.50,180.82
86.08,-5.50,180.82
86.09,-5.50,180.82
86.09,-5.50,180.83
86.08,-5.50,180.82
86.08,-5.50,180.82
86.07,-5.50,180.82
86.07,-5.50,180.81
86.06,-5.50,180.81
86.06,-5.50,180.80
86.07,-5.50,180.81
86.07,-5.50,180.82
86.08,-5.50,180.82
86.08,-5.49,180.82
86.10,-5.49,180.83
86.08,-5.49,180.81
86.08,-5.50,180.81
86.08,-5.50,180.82
86.07,-5.50,180.83
86.07,-5.49,180.83
86.08,-5.49,180.83
86.08,-5.50,180.83
86.08,-5.49,180.83
86.08,-5.50,180.83
86.08,-5.50,180.84
86.08,-5.50,180.84
86.09,-5.49,180.84
86.10,-5.49,180.84
86.10,-5.50,180.85
86.10,-5.49,180.85
86.10,-5.49,180.85
86.11,-5.49,180.85
86.12,-5.49,180.86
86.13,-5.49,180.86
86.13,-5.49,180.86
86.13,-5.49,180.87
86.13,-5.49,180.87
86.13,-5.49,180.87
86.13,-5.50,180.88
86.13,-5.50,180.87
86.12,-5.50,180.86
86.11,-5.50,180.86
86.10,-5.50,180.85
86.09,-5.50,180.85
86.08,-5.50,180.84
86.09,-5.50,180.85
86.09,-5.50,180.85
86.10,-5.49,180.85
86.10,-5.50,180.86
86.10,-5.50,180.87
86.11,-5.50,180.87
86.11,-5.50,180.87
86.10,-5.49,180.87
86.10,-5.49,180.87
86.09,-5.49,180.87
