-,-,-,-,-,-,-,-,-,-,-,-
'w'
0.18,1.02,0.15,20.32,-6.47,-23.68,1.05,31.87,502,517,103,31
0.19,0.99,0.18,23.38,-5.98,-29.30,1.02,37.95,432,531,107,24
0.21,1.05,0.21,14.89,-1.71,-34.12,1.09,37.27,593,558,119,13
0.24,1.17,0.24,7.57,1.59,-54.44,1.21,54.99,448,600,123,8
0.27,1.27,0.28,1.10,8.85,-78.98,1.33,79.48,781,638,128,0
0.28,1.42,0.30,-1.95,10.86,-105.04,1.48,105.62,528,652,137,0
0.30,1.48,0.27,-9.95,28.63,-143.86,1.54,147.02,0,0,133,1
0.42,1.90,0.26,-37.72,46.63,-208.50,1.96,216.95,32736,2,118,0
0.82,2.58,-0.46,-86.24,44.13,-305.97,2.74,320.94,122,660,87,0
0.42,3.74,-0.04,-92.04,-2.62,-396.06,3.76,406.62,32,659,49,0
0.39,2.68,-0.16,49.68,-58.04,-384.83,2.72,392.34,6,539,9,0
-0.69,1.48,-0.62,-58.84,-105.59,-94.36,1.75,153.35,4,484,0,2
-1.06,1.63,0.17,33.87,-109.99,94.91,1.95,149.17,3,484,0,1
-0.94,-0.27,-0.69,73.43,-76.54,100.16,1.20,145.88,3,464,1,6
-1.06,0.24,-0.21,-44.49,-36.99,118.16,1.11,131.57,3,470,0,6
-0.96,0.67,0.08,-45.59,13.92,171.02,1.18,177.54,3,463,0,4
-0.48,0.76,-0.16,-36.87,52.00,217.04,0.91,226.21,3,465,0,4
-0.03,1.15,-0.15,-54.57,52.37,246.77,1.16,258.09,3,463,0,6
0.21,1.40,-0.01,-57.01,36.19,261.47,1.42,270.05,3,467,0,4
0.52,1.69,0.08,-63.42,25.39,260.01,1.77,268.83,4,467,0,4
0.82,1.87,-0.00,-59.69,15.44,238.59,2.04,246.42,4,460,0,2
1.01,1.80,-0.04,-61.40,7.51,206.67,2.06,215.72,4,465,0,0
1.43,1.70,0.18,-66.71,16.05,205.32,2.22,216.48,4,471,0,0
1.59,1.69,0.54,-68.36,38.09,178.22,2.38,194.65,5,478,0,0
2.13,1.33,0.47,-38.02,49.93,162.84,2.55,174.52,5,476,0,0
2.66,0.89,0.28,-26.92,31.92,118.29,2.82,125.44,5,472,0,0
2.47,0.82,0.53,-30.76,6.53,42.42,2.65,52.80,5,473,0,0
2.53,0.33,0.37,136.66,-14.89,-200.68,2.57,243.25,5,388,0,36
-0.48,1.22,-0.02,140.50,12.08,-194.76,1.31,240.46,7,331,0,86
0.64,0.86,0.49,83.50,73.67,-178.59,1.18,210.46,16,339,1,127
