-,-,-,-,-,-,-,-,-,-,-,-
'a'
0.12,0.96,0.07,0.67,0.55,-0.12,0.97,0.88,12,590,12,90
0.12,0.96,0.07,0.67,0.55,-0.31,0.97,0.92,12,590,11,90
0.12,0.96,0.07,0.67,0.61,-0.37,0.97,0.98,12,589,12,89
0.12,0.96,0.07,0.61,0.67,-0.31,0.97,0.96,12,589,12,88
0.12,0.96,0.07,0.79,0.49,-0.37,0.97,1.00,13,589,12,86
0.12,0.96,0.07,0.73,0.43,-0.31,0.97,0.90,12,588,10,90
0.12,0.96,0.07,0.67,0.61,-0.24,0.97,0.94,12,590,11,88
0.12,0.96,0.07,0.67,0.67,-0.31,0.97,1.00,12,590,12,89
0.12,0.96,0.07,0.79,0.61,-0.24,0.97,1.03,12,589,12,90
0.12,0.96,0.07,0.73,0.61,-0.31,0.97,1.00,13,589,11,90
0.12,0.96,0.07,0.73,0.49,-0.31,0.97,0.93,12,591,11,88
0.12,0.96,0.07,0.49,0.73,-0.24,0.97,0.91,13,588,9,88
0.12,0.96,0.07,0.67,0.49,-0.43,0.97,0.93,12,587,9,88
0.12,0.96,0.07,0.73,0.67,-0.12,0.97,1.00,12,589,10,89
0.12,0.96,0.07,0.49,0.49,-0.43,0.97,0.81,12,590,12,89
0.12,0.96,0.07,0.55,0.61,-0.37,0.97,0.90,12,591,12,87
0.12,0.96,0.07,0.49,0.49,-0.43,0.97,0.81,12,593,12,88
0.12,0.96,0.07,0.61,0.55,-0.31,0.97,0.88,12,591,11,88
0.12,0.96,0.07,0.67,0.55,-0.31,0.97,0.92,12,591,12,86
0.12,0.96,0.07,0.55,0.67,-0.12,0.97,0.88,12,589,12,87
0.12,0.96,0.07,0.73,0.49,-0.24,0.97,0.91,12,589,10,91
0.12,0.96,0.07,0.73,0.61,-0.37,0.97,1.02,13,589,10,90
0.12,0.96,0.07,0.67,0.55,-0.31,0.97,0.92,12,588,11,90
0.12,0.96,0.07,0.67,0.49,-0.37,0.97,0.91,12,589,12,88
0.12,0.96,0.07,0.61,0.43,-0.37,0.97,0.83,12,590,12,87
0.12,0.96,0.07,0.67,0.67,-0.24,0.97,0.98,12,589,10,90
0.12,0.96,0.07,0.85,0.49,-0.24,0.97,1.01,12,591,13,89
0.12,0.96,0.07,0.79,0.49,-0.18,0.97,0.95,12,590,11,89
0.12,0.96,0.07,0.67,0.55,-0.06,0.97,0.87,12,589,12,88
0.12,0.96,0.07,0.61,0.67,-0.06,0.97,0.91,12,590,13,86
0.12,0.96,0.07,0.55,0.73,-0.18,0.97,0.93,13,590,11,86
0.12,0.96,0.07,0.49,0.55,-0.12,0.97,0.75,12,589,11,90
0.12,0.96,0.07,0.24,0.43,-0.31,0.97,0.58,12,590,11,89
0.12,0.96,0.07,0.61,0.61,-0.37,0.97,0.94,12,594,12,90
0.12,0.96,0.07,0.49,0.43,-0.43,0.97,0.78,12,588,11,86
