-,-,-,-,-,-,-,-,-,-,-,-





'w'













0.09,0.99,0.03,8.73,4.21,-4.52,0.99,10.69,6,117,38,142
0.10,0.97,0.05,9.77,4.76,-4.76,0.98,11.86,6,122,45,133
0.10,0.98,0.05,10.50,4.88,-5.00,0.99,12.61,6,125,51,125
0.10,0.98,0.09,15.20,5.13,-5.80,0.99,17.06,6,129,55,125
0.11,0.97,0.07,15.50,4.52,-6.41,0.98,17.37,6,130,67,118
0.12,0.95,0.09,12.21,3.23,-5.62,0.96,13.82,6,131,76,120
0.11,0.97,0.08,7.20,1.59,-4.03,0.98,8.40,6,134,77,113
0.11,0.97,0.09,3.66,1.10,-3.05,0.98,4.89,5,137,86,108
0.11,0.98,0.08,2.99,0.92,-3.85,0.99,4.96,5,140,87,98
0.12,0.99,0.09,5.55,0.24,-5.55,1.00,7.86,5,142,93,84
0.13,1.00,0.10,15.99,-3.36,-8.85,1.01,18.58,5,144,97,70
0.12,0.97,0.10,8.00,0.00,-9.03,0.98,12.06,4,149,107,54
0.12,0.97,0.11,7.51,0.18,-15.75,0.99,17.45,4,153,109,41
0.13,0.96,0.12,6.10,0.73,-19.17,0.98,20.13,4,156,118,28
0.15,0.98,0.12,-8.06,5.55,-29.24,1.00,30.83,3,164,124,25
0.15,1.09,0.13,-19.04,8.48,-34.97,1.11,40.72,3,169,128,14
0.19,1.09,0.11,-26.49,10.25,-48.10,1.11,55.86,2,184,133,12
0.22,1.17,0.07,-29.30,11.29,-64.94,1.19,72.13,2,217,140,11
0.27,1.29,0.04,-26.61,12.63,-88.75,1.31,93.51,1,275,145,12
0.26,1.25,0.12,-20.81,12.94,-111.45,1.28,114.11,1,340,142,11
0.28,1.28,0.07,-22.46,17.46,-142.33,1.31,145.15,1,397,142,11
0.33,1.56,0.06,-25.63,22.52,-199.71,1.60,202.60,1,472,129,9
0.48,1.75,-0.01,-13.49,22.52,-255.07,1.81,256.41,1,565,86,7
0.59,1.81,0.00,-19.47,24.23,-295.29,1.91,296.92,1,714,45,6
0.70,2.19,0.12,-33.39,21.18,-297.12,2.31,299.74,1,836,23,3
0.17,1.01,-0.12,68.24,20.69,-311.65,1.03,319.70,1,875,11,8
-0.18,0.28,-0.38,86.98,-9.28,-190.61,0.51,209.72,1,884,5,16
-0.42,0.61,-0.18,0.67,-65.37,5.07,0.76,65.57,1,893,5,14
-0.31,0.79,0.05,2.32,-82.70,90.58,0.85,122.67,1,901,5,15
-0.38,0.79,0.12,49.19,-70.98,141.11,0.89,165.44,1,903,4,17
-0.20,0.44,-0.18,71.04,-41.50,197.51,0.52,213.96,1,904,5,17
-0.10,0.60,-0.14,20.75,-29.17,221.68,0.63,224.55,1,903,3,17
0.00,0.84,-0.09,8.79,-19.65,255.49,0.85,256.40,1,903,3,18
0.16,0.82,-0.14,-8.24,-11.66,261.35,0.85,261.74,1,902,2,18
0.42,1.17,0.03,-41.87,-2.44,231.45,1.25,235.21,1,887,3,17
0.41,1.31,0.13,-32.29,13.37,190.00,1.38,193.19,1,864,2,14
0.62,1.32,-0.00,-21.79,7.26,168.03,1.46,169.59,1,835,5,17
0.69,1.42,0.15,-35.40,-18.31,166.14,1.58,170.85,1,823,3,15
0.61,1.40,0.16,-13.55,-39.49,151.67,1.53,157.31,1,852,4,14
0.46,1.13,0.04,-41.69,-65.31,192.57,1.22,207.57,1,869,4,14
0.50,1.36,0.32,-66.28,-57.74,188.78,1.49,208.24,1,879,3,16
0.66,1.45,0.53,-63.23,-31.80,172.42,1.68,186.39,1,888,5,17
0.97,1.41,0.57,-42.36,2.62,139.28,1.80,145.60,1,890,5,14
1.69,0.94,0.14,-17.70,20.51,83.80,1.94,88.07,1,886,4,15
2.18,0.68,0.19,-37.11,-1.95,25.94,2.29,45.32,1,883,4,17
-0.23,1.34,-0.14,115.30,-9.70,-165.47,1.37,201.91,2,807,3,51
-0.39,1.18,-0.16,38.39,15.14,-187.44,1.26,191.93,4,751,6,96
0.07,0.87,0.21,38.27,29.97,-199.77,0.90,205.60,5,706,9,127
0.25,1.42,0.04,1.34,5.62,-135.56,1.44,135.68,3,511,8,143
0.24,1.08,0.12,-23.99,17.70,-41.93,1.11,51.45,4,262,11,149
0.10,1.00,0.04,-4.03,-1.65,-7.45,1.00,8.62,4,160,14,148
0.11,0.97,0.06,5.55,-0.06,-5.55,0.97,7.86,5,129,15,148
0.09,0.98,0.06,7.63,0.67,-3.78,0.98,8.54,5,118,23,149
0.09,0.98,0.06,4.70,0.79,-2.32,0.99,5.30,5,115,30,146
0.10,0.97,0.06,1.34,0.79,-1.59,0.98,2.23,5,117,36,144
0.09,0.99,0.05,2.32,1.53,-1.89,0.99,3.36,6,115,41,143
0.09,0.98,0.06,5.92,2.75,-2.75,0.99,7.08,6,119,49,144
0.10,0.97,0.07,6.71,3.60,-2.87,0.98,8.14,6,120,55,140
0.10,0.98,0.07,5.25,3.42,-2.69,0.98,6.82,6,121,60,135
0.10,0.97,0.07,5.43,2.99,-2.93,0.98,6.86,6,125,63,137
