-,-,-,-,-,-,-,-,-,-,-,-
'w'
0.17,1.13,0.09,6.90,-1.95,-32.90,1.15,33.67,148,774,151,2
0.18,1.12,0.12,12.08,-1.89,-42.18,1.14,43.91,102,792,156,0
0.19,1.16,0.16,12.57,-1.28,-55.36,1.19,56.78,69,802,155,1
0.18,1.11,0.21,9.34,3.11,-69.40,1.15,70.09,44,812,147,0
0.25,1.22,0.11,5.00,8.61,-83.62,1.25,84.21,26,816,147,0
0.29,1.37,0.08,9.70,7.32,-106.57,1.40,107.26,15,813,146,0
0.37,1.53,-0.07,26.92,-3.05,-155.21,1.58,157.56,9,812,135,1
0.32,1.87,-0.03,52.61,-13.61,-210.21,1.90,217.12,6,811,107,0
0.54,2.10,-0.06,65.19,-19.17,-275.27,2.17,283.53,4,798,69,0
0.59,1.78,-0.08,49.56,-21.06,-323.30,1.88,327.76,2,778,33,0
0.83,2.07,-0.23,-26.55,-33.75,-325.62,2.25,328.44,0,0,10,0
-0.30,0.78,-0.14,11.35,-67.26,-279.79,0.85,287.98,0,0,0,7
-0.78,0.65,0.24,18.98,-43.27,-25.63,1.05,53.76,0,0,0,3
-0.78,0.65,-0.11,37.84,27.16,135.56,1.02,143.34,0,0,0,4
-0.64,0.38,-0.27,4.33,57.43,155.58,0.79,165.90,0,0,0,3
-0.68,0.58,-0.18,-31.07,50.60,204.83,0.91,213.27,0,0,2,2
-0.44,0.84,-0.19,-37.41,36.62,251.34,0.97,256.74,0,0,0,3
-0.16,1.07,-0.14,-41.20,18.68,255.86,1.09,259.83,1,716,0,1
0.01,1.15,-0.15,-43.64,-6.41,249.69,1.16,253.56,1,716,1,2
0.22,1.63,0.10,-52.00,-34.55,262.15,1.64,269.48,1,718,1,2
0.51,1.59,0.11,-37.41,-37.84,256.35,1.67,261.81,1,717,3,1
1.00,1.72,0.29,-65.49,-8.36,198.79,2.01,209.47,1,722,4,0
1.40,1.85,0.47,-72.63,24.90,74.71,2.36,107.13,1,734,3,0
1.15,1.31,0.47,-70.86,16.05,84.78,1.81,111.65,1,739,4,0
1.73,1.48,0.44,-23.68,1.16,101.50,2.31,104.23,1,741,3,0
1.61,0.77,0.24,-15.26,-19.10,46.88,1.80,52.87,1,749,3,0
1.38,0.98,0.69,-39.98,-21.12,28.99,1.83,53.71,1,761,0,0
1.37,0.99,0.68,5.00,-5.98,23.93,1.82,25.16,1,766,3,0
