-,-,-,-,-,-,-,-,-,-,-,-
'w'
0.11,0.99,-0.08,3.30,-0.31,-3.11,1.00,4.54,161,546,89,121
0.10,0.97,-0.07,4.27,-1.04,-4.21,0.98,6.09,174,548,97,112
0.10,0.97,-0.07,2.69,-1.16,-4.46,0.97,5.33,254,555,101,99
0.10,0.98,-0.08,0.18,-0.79,-4.21,0.99,4.29,279,558,102,87
0.10,1.01,-0.08,0.55,-0.98,-4.58,1.01,4.71,334,560,111,75
0.11,0.99,-0.07,2.08,-1.16,-5.43,1.00,5.93,454,568,104,65
0.11,1.00,-0.08,3.11,-1.53,-5.92,1.01,6.86,326,574,113,51
0.11,1.02,-0.08,5.80,-2.20,-6.84,1.03,9.23,290,588,118,36
0.12,1.03,-0.07,11.29,-2.56,-10.13,1.04,15.39,296,603,125,21
0.12,1.00,-0.05,18.01,-2.99,-17.82,1.01,25.51,340,622,135,12
0.12,1.08,-0.01,15.26,-2.38,-23.50,1.09,28.12,324,655,143,1
0.13,1.10,-0.00,6.53,-2.14,-39.73,1.11,40.32,234,698,145,0
0.16,1.29,-0.02,1.59,-0.85,-58.59,1.30,58.62,183,740,149,0
0.17,1.45,-0.05,5.25,-0.73,-86.55,1.46,86.71,124,783,148,0
0.15,1.65,-0.02,21.06,2.56,-124.94,1.66,126.73,84,811,143,0
0.29,2.34,-0.31,29.54,10.50,-187.50,2.38,190.10,39,812,131,0
0.18,2.76,-0.48,58.65,-20.32,-277.22,2.80,284.09,14,775,103,0
0.49,2.84,-0.32,68.36,-58.84,-349.67,2.90,361.12,4,752,38,0
-0.21,2.13,-0.45,91.74,-89.60,-327.58,2.19,351.78,1,739,3,0
-2.34,-2.06,-0.89,156.49,-101.75,-280.27,3.24,336.74,1,671,0,17
-1.08,0.73,-0.29,-62.81,-110.29,-8.24,1.34,127.19,0,0,0,7
-0.79,0.62,0.08,6.65,-74.46,40.77,1.00,85.15,1,696,0,8
-0.93,0.01,-0.14,11.66,-4.09,70.37,0.94,71.45,1,692,0,8
-0.68,0.17,-0.23,-33.08,50.84,121.28,0.74,135.60,0,0,0,9
-0.31,0.38,-0.27,-59.39,65.00,168.70,0.56,190.30,0,0,0,6
0.07,0.88,-0.13,-73.49,44.80,200.38,0.89,218.08,1,688,0,8
0.35,0.88,-0.18,-72.27,-12.51,220.64,0.96,232.51,0,0,0,7
0.08,1.11,-0.06,-92.22,-47.49,234.68,1.12,256.58,1,691,0,5
0.28,1.31,0.02,-105.83,-67.99,231.26,1.34,263.26,1,694,0,6
0.29,1.50,0.19,-130.31,-62.56,218.87,1.54,262.30,1,695,0,4
0.43,1.76,0.37,-147.83,-20.51,191.77,1.85,243.00,1,699,0,2
0.95,1.96,0.54,-142.40,44.98,152.16,2.25,213.20,1,694,0,0
1.52,1.52,0.43,-123.41,84.05,91.00,2.20,174.86,1,700,0,2
1.68,1.38,0.61,-135.50,70.68,69.82,2.26,168.02,1,702,0,0
1.79,1.39,0.79,-72.51,49.07,76.97,2.40,116.57,1,698,0,0
2.51,1.09,0.44,-30.27,47.73,58.65,2.77,81.46,1,674,0,0
0.36,2.32,-0.77,96.80,-43.52,-171.39,2.47,201.59,2,478,0,50
0.18,1.47,-0.57,229.55,-53.10,-162.35,1.59,286.13,5,376,0,78
-0.72,-0.09,2.69,324.04,-20.94,-51.15,2.79,328.71,55,393,0,118
0.11,0.77,0.21,89.54,4.33,-5.43,0.81,89.81,256,463,23,146
0.11,0.90,0.12,4.76,0.55,-3.97,0.91,6.22,317,491,45,145
0.08,0.98,0.07,-7.08,0.31,-2.20,0.99,7.42,310,496,52,141
0.09,1.02,0.04,-4.52,0.37,-2.99,1.02,5.43,432,501,57,138
0.09,0.99,0.06,2.08,0.31,-2.26,1.00,3.08,568,500,66,136
0.09,0.98,0.07,0.55,0.31,-1.89,0.99,1.99,359,504,74,136
0.09,0.98,0.07,-4.88,0.79,-1.59,0.99,5.20,476,507,80,121
0.09,0.99,0.06,-8.06,0.73,-1.65,1.00,8.26,612,509,80,105
0.09,1.00,0.06,-6.77,0.24,-2.32,1.00,7.17,381,516,87,88
0.09,1.00,0.04,-5.31,-0.61,-3.97,1.01,6.66,459,521,92,69
0.09,0.99,0.05,-1.22,-1.53,-4.64,1.00,5.03,644,527,96,46
0.10,0.98,0.05,0.18,-2.26,-6.41,0.99,6.80,579,533,101,34
0.10,0.98,0.04,-1.89,-2.26,-6.53,0.99,7.16,482,541,102,22
0.11,1.01,0.02,-0.18,-2.44,-7.75,1.02,8.13,597,550,105,16
0.11,1.08,0.04,6.53,-3.30,-8.54,1.08,11.25,442,564,117,14
0.11,0.97,0.08,20.57,-3.78,-10.80,0.98,23.54,713,553,123,18
0.11,0.97,0.10,14.47,-2.69,-9.34,0.98,17.43,512,578,131,16
0.11,1.01,0.10,9.40,-2.08,-10.13,1.02,13.98,515,591,134,10
0.12,1.07,0.06,5.68,-1.77,-13.31,1.07,14.57,434,616,141,5
0.12,0.97,0.13,7.45,-1.34,-21.00,0.99,22.32,408,652,144,0
0.14,1.12,0.10,-7.20,-0.24,-36.93,1.13,37.62,334,682,149,0
0.15,1.22,0.12,-6.84,0.18,-52.31,1.23,52.75,302,722,154,0
0.16,1.36,0.09,-5.31,2.14,-75.07,1.37,75.29,247,760,154,0
0.16,1.50,0.10,4.09,5.31,-113.83,1.51,114.03,180,806,158,0
0.24,2.03,0.02,-0.24,5.37,-168.58,2.04,168.66,107,832,157,0
0.26,2.63,-0.32,16.24,-7.02,-264.10,2.66,264.69,42,808,136,0
0.39,2.96,-0.08,25.82,-22.95,-370.30,2.99,371.91,11,774,69,0
-0.02,2.83,-0.31,61.65,-33.94,-358.09,2.85,364.94,2,753,15,0
-0.54,1.85,-1.16,98.21,-60.61,-345.83,2.25,364.57,1,714,0,0
-0.85,0.46,-1.03,-43.82,-73.49,-73.49,1.41,112.79,0,0,0,9
-0.80,0.61,-0.05,-83.56,-26.79,98.88,1.01,132.20,1,668,0,6
-0.68,0.53,0.14,-20.75,29.72,76.05,0.87,84.25,1,667,0,8
-0.66,-0.11,-0.36,-7.63,80.26,105.53,0.77,132.80,1,654,0,9
-0.28,0.35,-0.43,-58.23,84.72,173.16,0.62,201.37,1,655,0,6
0.05,0.76,-0.26,-74.58,59.27,202.94,0.80,224.19,1,639,0,6
0.25,1.02,-0.16,-61.10,23.68,216.06,1.06,225.78,1,643,0,6
0.34,1.02,-0.13,-49.93,-19.04,237.18,1.09,243.13,1,647,0,7
0.31,1.26,-0.11,-70.25,-57.01,245.85,1.30,261.97,1,658,0,6
0.44,1.40,-0.00,-91.74,-72.08,231.75,1.47,259.46,1,673,0,5
0.40,1.65,0.27,-113.16,-65.86,209.78,1.72,247.28,1,681,0,6
0.56,1.84,0.48,-101.56,-19.96,173.77,1.99,202.26,1,685,0,4
0.97,1.72,0.50,-95.46,45.78,127.99,2.04,166.10,0,0,0,4
1.36,1.55,0.60,-85.88,77.15,93.08,2.15,148.29,1,702,0,1
1.62,1.33,0.73,-73.06,71.53,86.55,2.22,133.96,1,704,0,3
2.16,1.03,0.73,-22.71,60.30,80.63,2.50,103.21,1,705,0,2
3.99,-0.38,0.50,173.89,-30.27,-163.57,4.04,240.65,1,610,0,45
0.23,1.91,-0.49,238.95,-52.86,-209.96,1.98,322.45,4,377,0,74
0.19,1.63,0.01,146.85,11.29,-28.26,1.64,149.97,66,411,0,126
0.12,0.78,0.19,23.56,-0.79,-8.30,0.81,24.99,263,485,40,138
0.08,0.98,0.09,0.43,0.00,-2.08,0.99,2.12,247,499,53,137
0.07,0.99,0.06,-6.59,1.04,-1.77,0.99,6.90,307,505,60,132
0.08,1.00,0.06,-2.99,0.61,-2.50,1.00,3.95,425,508,71,132
0.08,1.00,0.06,0.24,0.18,-1.59,1.00,1.62,552,511,84,131
0.08,0.97,0.08,-15.56,0.31,-1.22,0.98,15.61,451,513,93,127
0.08,0.99,0.06,-7.93,0.67,-1.46,0.99,8.10,584,518,97,115
0.08,1.01,0.05,-8.36,0.37,-2.20,1.01,8.65,480,527,106,94
0.08,0.99,0.05,-5.25,-0.73,-4.46,1.00,6.92,722,538,112,77
0.08,1.00,0.05,-5.19,-1.53,-3.85,1.00,6.64,462,550,119,50
0.09,1.04,0.01,-5.68,-2.38,-6.23,1.04,8.75,1336,563,125,31
0.08,1.14,0.05,4.03,-3.72,-14.89,1.15,15.87,477,580,130,18
0.08,1.01,0.10,8.36,-4.58,-14.53,1.01,17.37,482,599,131,11
0.10,0.95,0.08,8.12,-3.30,-12.21,0.96,15.03,482,612,138,5
0.12,0.96,0.09,5.49,-1.95,-13.37,0.97,14.58,386,633,143,5
0.12,0.99,0.06,3.72,-1.89,-13.18,1.00,13.83,420,651,142,0
0.12,0.99,0.07,3.78,-2.14,-15.56,1.00,16.16,450,667,147,0
0.13,0.96,0.09,2.99,-2.26,-17.09,0.97,17.50,456,679,146,0
0.14,0.97,0.09,0.92,-1.65,-19.17,0.99,19.26,390,690,154,0
0.15,1.05,0.07,-0.61,-0.85,-22.77,1.06,22.79,428,707,155,0
0.15,1.08,0.09,-0.06,-0.49,-29.85,1.10,29.85,327,728,157,0
0.17,1.13,0.10,-2.20,0.92,-39.73,1.15,39.81,230,753,162,0
0.18,1.25,0.08,-1.04,2.56,-66.83,1.26,66.89,246,785,161,0
0.21,1.37,0.09,6.71,1.83,-95.83,1.39,96.08,160,814,162,0
0.23,1.81,0.09,-0.06,5.07,-138.55,1.83,138.64,104,837,162,0
0.33,2.28,-0.30,4.70,0.18,-218.32,2.33,218.37,55,828,147,2
0.58,2.74,-0.33,-1.28,-21.36,-324.28,2.82,324.99,23,795,105,0
0.26,3.71,0.16,-51.39,-36.07,-360.53,3.72,365.96,5,769,30,0
-0.18,2.72,-0.58,86.12,-57.01,-332.03,2.79,347.72,1,762,2,0
-2.06,-0.65,-0.84,85.51,-64.82,-328.31,2.32,345.40,0,0,0,18
-1.02,0.86,-0.48,-24.90,-20.14,49.80,1.42,59.21,1,712,0,9
-0.37,0.49,-0.20,3.91,-3.66,102.72,0.65,102.86,1,701,0,4
-0.56,0.18,-0.20,5.00,0.49,104.49,0.63,104.61,1,691,0,7
-0.49,0.28,-0.31,-5.62,14.89,160.83,0.64,161.61,1,682,0,8
-0.07,0.49,-0.42,-26.37,13.37,209.59,0.65,211.67,1,677,0,4
0.12,0.78,-0.29,-50.05,5.43,224.06,0.84,229.65,1,670,0,5
0.30,0.98,-0.27,-55.30,8.54,229.61,1.06,236.33,1,666,0,5
0.52,1.03,-0.34,-74.71,-0.73,229.13,1.21,241.00,1,680,0,5
0.68,1.36,-0.13,-106.02,-24.29,226.81,1.53,251.54,1,693,0,3
0.62,1.46,0.11,-106.63,-22.89,197.33,1.59,225.46,0,0,0,6
0.80,1.72,0.20,-113.16,13.00,161.19,1.91,197.38,0,0,0,4
1.19,1.59,0.16,-92.83,41.81,104.37,1.99,145.81,0,0,0,2
1.49,1.16,0.18,-101.87,52.55,53.96,1.90,126.69,0,0,0,2
1.61,1.06,0.50,-143.43,46.45,24.84,1.99,152.80,0,0,0,2
1.54,1.28,0.98,-124.63,40.04,17.52,2.23,132.07,0,0,0,2
1.59,0.95,0.89,-15.44,49.44,49.32,2.06,71.52,0,0,0,2
3.64,3.80,-0.86,27.40,45.78,50.42,5.33,73.40,1,675,0,22
-0.28,2.39,-0.81,316.53,-22.83,-109.01,2.54,335.55,5,411,0,54
0.10,-2.11,1.21,332.52,-9.34,-31.80,2.43,334.17,43,429,0,99
0.05,1.26,0.02,57.13,-0.24,-11.84,1.26,58.34,144,487,32,133
0.09,0.79,0.17,4.88,-1.22,-5.00,0.81,7.10,199,506,51,139
0.08,1.03,0.04,-10.13,1.77,-1.04,1.04,10.34,297,511,52,132
0.08,1.02,0.03,-1.34,0.18,-1.34,1.02,1.91,266,510,57,127
0.08,0.98,0.06,4.88,0.06,-1.95,0.99,5.26,422,511,66,138
0.08,0.97,0.08,2.50,-0.37,-2.01,0.97,3.23,490,511,77,133
0.08,0.98,0.07,-3.48,0.31,-2.32,0.99,4.19,460,516,86,133
0.08,0.99,0.06,-5.55,0.12,-2.81,1.00,6.22,536,520,91,117
0.09,0.99,0.06,-6.16,-0.18,-3.66,0.99,7.17,413,527,97,106
0.09,0.99,0.05,-6.35,-0.37,-4.82,1.00,7.98,505,530,105,85
0.09,1.00,0.05,-4.70,-0.79,-5.92,1.00,7.60,515,539,111,63
0.10,1.00,0.04,-3.85,-1.46,-7.69,1.00,8.72,1062,545,115,34
0.11,0.96,0.02,-4.58,-2.01,-8.18,0.96,9.59,488,559,120,19
0.10,1.01,0.05,-5.31,-3.85,-9.28,1.01,11.36,540,568,122,9
0.10,0.96,0.08,0.67,-2.93,-29.24,0.97,29.39,413,585,125,5
0.12,0.99,0.02,-1.53,-2.14,-15.81,1.00,16.02,384,601,127,2
0.13,0.99,0.04,3.91,-2.44,-16.60,1.00,17.23,456,617,131,0
0.14,0.97,0.05,7.20,-2.87,-18.07,0.98,19.66,505,601,137,0
0.14,1.00,0.08,3.54,-2.69,-19.35,1.01,19.85,579,628,138,0
0.16,0.98,0.06,-0.79,-2.01,-22.52,1.00,22.63,428,667,143,0
0.15,1.07,0.08,-6.65,-1.10,-28.81,1.08,29.59,433,692,146,0
0.17,1.09,0.08,-5.86,-0.55,-39.55,1.11,39.99,472,722,153,0
0.19,1.13,0.07,-9.64,1.65,-53.96,1.15,54.83,354,752,157,0
0.22,1.32,0.03,-10.13,3.85,-86.98,1.33,87.65,260,790,159,0
0.17,1.79,0.10,-7.45,7.57,-134.77,1.80,135.18,166,826,159,0
0.30,2.49,-0.17,-7.20,6.16,-218.87,2.52,219.08,100,839,152,0
0.38,3.09,-0.19,-8.79,-16.97,-332.82,3.12,333.37,38,800,105,0
0.23,3.83,0.04,-5.43,-24.29,-375.06,3.83,375.89,7,773,33,0
-0.18,2.19,-0.95,116.88,-39.79,-370.54,2.40,390.57,2,745,7,0
-1.23,0.34,-1.08,27.10,-55.18,-373.78,1.68,378.80,1,678,0,14
-1.00,0.95,-0.66,-84.78,-79.65,-37.66,1.53,122.27,1,691,0,6
-0.71,0.78,0.06,-17.15,-34.61,132.20,1.06,137.73,1,690,0,5
-0.45,0.20,-0.14,18.98,-12.27,130.49,0.51,132.44,1,674,0,4
-0.37,0.29,-0.20,-8.06,-1.95,161.62,0.51,161.83,1,661,0,7
-0.10,0.54,-0.21,-34.79,-7.51,199.40,0.59,202.55,1,651,0,5
0.10,0.76,-0.15,-45.65,-19.29,221.92,0.78,227.39,1,648,0,3
0.26,0.94,-0.11,-57.07,-26.37,232.54,0.98,240.89,1,654,0,4
0.52,1.21,-0.08,-65.49,-18.80,239.26,1.32,248.77,1,660,0,4
0.83,1.34,-0.03,-71.35,-14.59,228.58,1.58,239.90,1,671,0,3
0.71,1.39,0.07,-65.67,-0.12,199.65,1.56,210.17,1,689,0,4
0.64,1.14,-0.08,-82.15,37.41,161.32,1.31,184.86,1,702,0,3
0.85,1.45,0.07,-112.24,48.34,138.00,1.69,184.34,0,0,0,5
1.15,1.47,0.16,-114.07,52.55,111.76,1.88,168.12,1,724,0,1
1.42,1.26,0.24,-119.63,52.19,72.14,1.91,149.13,1,725,0,4
1.46,0.93,0.51,-136.29,47.91,47.30,1.80,152.01,1,719,0,0
1.73,1.15,0.94,-120.06,56.46,60.24,2.27,145.71,1,703,0,0
