-,-,-,-,-,-,-,-,-,-,-,-
'a'
0.13,0.97,0.02,0.98,1.16,-0.55,0.98,1.61,13,499,17,48
0.13,0.97,0.02,1.28,1.22,-0.55,0.98,1.85,13,502,16,49
0.13,0.97,0.02,1.28,1.04,-0.55,0.98,1.74,13,501,16,50
0.13,0.97,0.02,1.28,1.10,-0.49,0.98,1.76,13,502,15,50
0.13,0.97,0.02,1.16,0.98,-0.55,0.98,1.61,13,500,16,50
0.13,0.97,0.02,1.34,1.22,-0.61,0.98,1.91,13,499,14,51
0.13,0.97,0.02,1.10,1.16,-0.55,0.98,1.69,13,500,16,48
0.13,0.97,0.02,1.22,1.16,-0.49,0.98,1.75,13,502,17,50
0.13,0.97,0.02,1.04,1.10,-0.43,0.98,1.57,13,500,15,48
0.13,0.97,0.02,1.22,1.16,-0.49,0.98,1.75,13,499,15,50
0.13,0.97,0.02,0.98,1.28,-0.43,0.98,1.67,13,500,16,47
0.13,0.97,0.02,1.10,1.22,-0.31,0.98,1.67,13,498,13,51
0.13,0.98,0.02,1.22,1.22,-0.49,0.98,1.79,13,499,17,48
0.13,0.98,0.02,1.46,1.22,-0.43,0.99,1.95,13,499,14,51
0.13,0.97,0.02,1.53,1.10,-0.73,0.98,2.02,14,498,15,48
0.13,0.97,0.02,1.59,1.04,-0.55,0.98,1.97,13,500,17,50
0.13,0.97,0.02,1.34,1.10,-0.55,0.98,1.82,13,500,15,49
0.13,0.97,0.02,1.59,1.10,-0.49,0.98,1.99,13,503,15,47
0.13,0.97,0.02,1.83,1.16,-0.31,0.98,2.19,13,502,15,50
0.13,0.97,0.02,1.77,0.98,-0.49,0.98,2.08,13,500,15,49
0.13,0.97,0.02,1.46,1.04,-0.55,0.98,1.88,12,499,16,50
0.13,0.97,0.03,1.46,1.04,-0.49,0.98,1.86,12,500,15,49
0.13,0.97,0.03,1.65,1.22,-0.37,0.98,2.08,13,502,14,50
0.13,0.97,0.03,1.46,1.04,-0.37,0.98,1.83,12,499,15,49
0.13,0.97,0.02,1.46,1.16,-0.55,0.98,1.95,12,499,14,49
0.13,0.97,0.03,1.34,1.04,-0.37,0.98,1.74,12,501,16,50
