-,-,-,-,-,-,-,-,-,-,-,-
'w'
2.43,1.64,-0.46,-58.96,34.48,222.90,2.97,233.13,2,661,0,8
2.74,1.95,0.14,-18.07,-13.06,175.72,3.36,177.13,2,658,0,8
3.83,-0.27,-0.94,24.48,-70.37,99.55,3.95,124.34,2,639,0,12
-0.76,-0.91,0.83,322.02,-49.50,-200.32,1.45,382.46,4,506,0,54
0.54,2.04,0.13,3.97,28.32,-262.51,2.11,264.07,5,454,0,104
0.47,1.88,-0.44,-104.19,46.08,-48.89,1.99,123.97,108,474,0,125
0.14,0.96,-0.01,10.25,2.26,-10.19,0.97,14.63,328,508,24,124
0.05,0.99,-0.05,2.75,0.37,-4.15,0.99,4.99,448,526,42,118
0.04,0.97,-0.03,1.71,-1.04,-2.56,0.97,3.25,324,536,54,120
0.04,1.01,-0.06,-1.53,-1.34,-1.71,1.01,2.66,398,542,66,108
0.04,1.03,-0.05,5.68,-4.27,-4.46,1.03,8.39,448,551,74,99
0.04,1.01,-0.05,7.69,-5.37,-6.10,1.01,11.19,352,567,82,91
0.04,1.00,-0.04,7.32,-6.96,-8.85,1.00,13.43,584,589,94,65
0.05,1.05,-0.06,7.69,-7.81,-11.41,1.05,15.83,400,608,104,46
0.04,1.20,-0.08,11.05,-9.95,-19.59,1.20,24.59,374,631,111,33
0.07,1.06,-0.02,27.65,-11.41,-30.27,1.06,42.56,499,645,116,24
0.18,0.79,-0.17,24.29,-12.88,-30.40,0.83,40.99,358,663,122,16
0.05,1.03,0.16,17.40,-14.77,-29.60,1.05,37.38,361,683,128,11
0.10,1.09,0.06,-2.81,-6.16,-39.18,1.10,39.77,286,704,133,7
0.12,1.03,0.06,-14.04,-0.73,-47.79,1.04,49.82,308,723,136,4
0.14,1.22,0.02,-23.74,4.03,-58.11,1.23,62.90,264,742,144,3
0.15,1.35,-0.02,-23.25,5.31,-87.59,1.36,90.78,233,765,146,0
0.17,1.26,0.03,-19.71,6.90,-114.14,1.27,116.03,190,797,151,0
0.21,1.63,-0.10,-28.08,8.91,-150.57,1.65,153.43,171,824,152,2
0.19,1.82,-0.22,-8.18,-12.02,-219.79,1.84,220.27,116,835,145,1
0.18,2.65,-0.01,-35.58,-17.76,-300.66,2.66,303.28,76,816,115,0
0.51,3.14,0.33,-64.39,10.13,-412.23,3.20,417.35,23,775,51,0
0.14,3.28,-0.68,6.23,-10.13,-423.58,3.36,423.75,5,745,13,0
-0.97,0.45,-1.23,45.04,-39.18,-406.98,1.62,411.34,1,709,0,12
-1.58,0.08,-0.45,-105.10,-103.03,-184.69,1.64,236.16,1,693,0,18
-1.30,1.38,0.18,-43.15,-38.64,140.69,1.90,152.14,0,0,0,10
-0.74,0.81,-0.14,104.37,-15.81,214.90,1.10,239.43,1,691,0,11
-0.61,0.06,-0.52,128.30,-14.89,258.79,0.80,289.23,0,0,0,14
-0.48,0.30,-0.59,34.73,-10.99,304.20,0.82,306.37,1,673,0,13
-0.38,0.78,-0.30,-36.07,15.32,295.23,0.92,297.82,1,666,0,13
-0.23,1.12,-0.32,-64.88,58.11,301.21,1.19,313.55,1,662,0,14
0.02,1.55,-0.37,-86.18,65.98,305.97,1.60,324.65,1,657,0,13
0.36,2.26,-0.23,-93.51,64.33,315.19,2.30,335.00,1,649,0,13
1.02,2.35,-0.37,-42.54,78.37,308.04,2.59,320.69,1,648,0,9
1.94,2.10,-0.64,-56.64,66.59,290.53,2.93,303.39,1,642,0,7
2.65,2.26,-0.43,-99.00,26.37,243.35,3.51,264.03,1,638,0,5
2.75,2.20,0.45,-72.63,-4.09,200.01,3.55,212.83,2,633,0,3
3.98,0.62,-0.50,55.11,-8.36,114.01,4.06,126.91,3,614,0,5
2.79,3.96,1.62,376.22,25.88,-232.79,5.11,443.17,5,522,0,41
0.04,-0.02,1.09,212.34,87.22,-273.13,1.09,356.79,5,459,0,94
0.43,1.06,0.17,23.32,22.64,-212.16,1.16,214.63,10,499,0,125
0.09,1.26,-0.19,-36.80,10.19,-26.18,1.28,46.30,122,498,0,136
0.06,0.79,0.03,28.63,-2.62,-8.24,0.79,29.90,346,525,24,139
0.06,0.99,-0.05,5.98,-1.71,-3.72,0.99,7.25,416,547,47,140
0.04,0.97,-0.05,-0.92,-1.34,-1.10,0.97,1.96,332,551,53,138
0.03,1.00,-0.07,-3.23,-0.61,-0.55,1.01,3.34,337,558,60,126
0.04,1.00,-0.07,-0.85,-1.65,-0.67,1.01,1.97,556,562,63,121
0.06,1.00,-0.07,3.05,-2.75,-1.59,1.00,4.40,370,575,68,106
0.04,1.00,-0.07,2.69,-3.23,-2.14,1.01,4.72,467,586,73,95
0.04,1.01,-0.07,5.86,-5.68,-4.27,1.01,9.21,473,598,83,77
0.04,1.03,-0.07,8.54,-8.12,-8.24,1.04,14.38,547,613,98,59
0.05,1.20,-0.10,14.22,-11.41,-19.04,1.20,26.37,465,627,107,48
0.07,1.03,-0.06,37.17,-12.45,-33.81,1.03,51.77,432,639,115,36
0.09,0.99,-0.03,37.78,-13.67,-37.54,0.99,54.98,379,658,121,22
0.12,0.86,-0.01,21.48,-14.65,-31.25,0.86,40.65,413,681,128,12
0.05,1.04,0.09,-8.18,-5.13,-42.05,1.04,43.15,346,707,138,10
0.10,1.30,0.02,-19.17,-0.55,-61.34,1.30,64.27,329,730,145,6
0.14,1.27,0.00,-23.44,4.15,-90.94,1.28,94.01,280,757,147,3
0.16,1.34,0.01,-23.74,4.15,-117.00,1.35,119.46,256,791,150,0
0.18,1.59,-0.05,-15.99,-1.16,-156.49,1.60,157.31,168,817,155,1
0.17,1.81,-0.14,-6.53,-11.05,-222.05,1.83,222.42,137,833,153,2
0.16,2.38,-0.06,-32.90,-15.56,-303.47,2.39,305.64,94,820,132,2
0.61,2.86,0.11,-89.78,-2.32,-411.19,2.93,420.89,37,773,62,0
0.21,3.47,-0.13,-96.86,1.34,-439.39,3.48,449.94,9,752,17,0
-0.57,0.17,-1.23,-41.87,-28.38,-450.20,1.37,453.03,2,715,2,7
-1.63,0.24,0.33,-180.73,-94.24,-218.99,1.68,299.17,1,673,0,20
-1.34,1.36,0.31,36.38,-7.39,144.35,1.94,149.04,1,676,0,11
-0.62,0.47,-0.39,138.49,6.41,241.03,0.87,278.06,1,671,0,12
-0.51,0.01,-0.62,96.37,-32.47,307.80,0.81,324.17,1,665,0,13
