-,-,-,-,-,-,-,-,-,-,-,-
'w'
0.39,1.18,0.32,37.35,8.85,-161.01,1.28,165.52,3,290,0,139
0.28,1.03,0.04,26.25,-1.59,-72.20,1.07,76.84,18,314,4,148
0.18,0.95,0.07,24.60,2.38,-31.68,0.97,40.18,49,329,4,144
0.17,0.91,0.10,15.56,3.48,-12.63,0.93,20.35,79,348,8,140
0.14,0.94,0.08,0.18,0.24,-1.59,0.95,1.62,119,350,13,142
0.14,0.96,0.08,-2.81,-0.43,1.71,0.97,3.31,171,352,15,138
0.13,0.96,0.07,-4.09,-1.22,2.01,0.98,4.72,171,349,16,145
0.12,0.97,0.07,-6.16,-2.81,0.67,0.98,6.81,150,351,16,147
0.12,0.97,0.06,-6.53,-3.48,-0.79,0.98,7.44,148,356,18,147
0.12,0.98,0.06,-5.43,-2.99,-1.16,0.99,6.31,238,366,20,140
0.12,0.98,0.05,-1.95,-0.73,-2.50,0.99,3.26,183,376,22,142
0.13,0.96,0.06,1.71,1.28,-2.20,0.97,3.06,258,383,20,142
0.13,0.97,0.07,2.01,1.46,-1.71,0.98,3.02,173,391,22,142
0.13,0.97,0.07,3.36,1.83,-1.65,0.98,4.16,276,397,25,137
0.13,0.96,0.07,2.56,1.46,-1.95,0.97,3.54,209,406,28,136
0.13,0.96,0.07,2.75,1.46,-1.95,0.97,3.67,213,412,33,133
0.12,0.97,0.07,3.60,2.26,-3.23,0.98,5.34,224,423,38,129
0.14,0.96,0.07,5.55,2.75,-4.33,0.97,7.56,317,436,47,123
0.14,0.96,0.08,5.74,2.81,-4.52,0.97,7.82,241,448,55,110
0.13,0.98,0.08,5.55,2.56,-5.37,0.99,8.14,234,461,63,99
0.14,0.97,0.08,6.59,2.44,-8.61,0.98,11.11,240,477,73,79
0.16,0.93,0.10,5.13,1.59,-9.95,0.95,11.30,218,495,85,60
0.15,0.96,0.10,1.77,0.92,-10.38,0.97,10.57,338,526,93,37
0.16,0.97,0.09,-0.18,0.98,-11.90,0.99,11.94,246,558,101,18
0.14,1.10,0.08,-2.50,0.67,-15.50,1.11,15.72,212,602,113,6
0.15,1.05,0.11,-18.19,9.28,-25.02,1.06,32.30,172,650,119,0
0.13,1.38,0.14,-25.15,12.88,-48.95,1.39,56.52,150,716,126,0
0.17,1.52,0.13,-32.90,17.58,-95.40,1.53,102.43,69,779,129,0
0.16,1.85,0.17,-41.63,22.71,-150.57,1.87,157.86,31,815,133,0
0.04,1.67,0.18,-32.96,40.28,-227.60,1.68,233.48,15,852,122,0
0.27,1.72,0.05,-40.53,51.45,-280.88,1.74,288.42,6,862,73,0
0.39,1.32,-0.01,-51.64,45.84,-301.27,1.38,309.08,2,846,33,0
0.58,1.12,-0.17,-41.93,35.22,-290.16,1.27,295.28,1,780,13,0
-0.16,0.30,-0.24,21.97,14.28,-152.47,0.41,154.70,0,0,4,5
-0.37,0.53,-0.23,6.16,-4.94,-42.66,0.69,43.39,0,0,0,3
-0.46,0.57,-0.08,17.09,-29.42,45.90,0.74,57.13,0,0,0,5
-0.45,0.42,-0.06,36.50,-44.49,105.10,0.62,119.83,0,0,0,5
-0.48,0.46,-0.01,32.41,-31.68,167.91,0.66,173.92,0,0,0,4
-0.30,0.68,0.01,23.68,-38.88,214.66,0.75,219.43,0,0,1,3
-0.13,1.06,0.04,10.07,-29.30,232.30,1.06,234.36,0,0,0,5
0.06,1.35,0.05,15.01,-21.06,242.00,1.35,243.38,0,0,0,4
0.25,1.44,-0.02,18.31,-12.39,238.95,1.47,239.97,0,0,0,3
0.46,1.75,-0.04,-10.38,-4.82,212.40,1.81,212.71,0,0,0,3
0.61,2.00,0.01,-9.34,5.43,174.99,2.09,175.32,0,0,0,3
0.80,1.75,-0.06,22.95,13.49,164.73,1.93,166.87,0,0,0,1
1.04,1.16,-0.27,27.34,1.46,180.36,1.58,182.43,0,0,0,2
1.25,1.09,-0.25,-34.18,-38.27,186.95,1.68,193.86,0,0,0,2
1.30,1.09,0.17,-62.99,-45.35,136.60,1.70,157.11,0,0,0,1
1.37,0.96,0.38,-29.85,-30.03,93.38,1.72,102.53,0,0,1,1
1.38,0.67,0.19,7.32,-3.11,33.39,1.54,34.32,0,0,0,2
1.57,1.55,0.32,77.88,45.78,-131.23,2.23,159.31,1,542,0,22
-0.09,1.07,0.15,-12.39,82.03,-175.11,1.09,193.77,0,0,0,68
0.28,1.38,0.09,15.56,36.38,-203.31,1.41,207.12,1,290,0,107
0.64,1.05,0.20,23.80,8.67,-147.83,1.25,149.98,5,318,0,136
0.19,1.00,0.06,36.38,2.99,-44.07,1.02,57.22,18,327,5,134
0.20,0.85,0.13,29.66,8.06,-20.87,0.89,37.16,40,350,8,127
0.15,0.93,0.09,8.00,3.60,-7.20,0.95,11.35,62,371,19,120
0.15,0.93,0.10,6.84,2.50,-4.15,0.95,8.38,97,378,27,120
0.14,0.94,0.10,3.48,1.65,-2.01,0.96,4.34,77,381,31,124
0.14,0.95,0.10,-1.16,-0.24,-2.75,0.97,2.99,128,394,39,121
0.14,0.97,0.09,-3.05,-1.34,-4.09,0.98,5.28,118,406,46,121
0.14,0.97,0.08,0.00,-0.92,-4.46,0.98,4.55,186,426,53,115
0.15,0.96,0.09,2.56,0.00,-4.33,0.98,5.03,138,433,59,115
0.14,0.97,0.10,2.20,0.92,-4.64,0.98,5.21,190,449,68,106
0.15,0.96,0.10,3.72,1.34,-6.65,0.98,7.74,242,465,75,92
0.16,0.95,0.10,3.30,0.92,-6.65,0.97,7.48,174,482,82,70
0.16,0.97,0.10,1.34,0.12,-6.29,0.98,6.43,204,500,88,53
0.17,0.99,0.09,3.91,-2.01,-8.42,1.01,9.50,185,520,94,39
0.17,0.94,0.10,7.08,-2.08,-9.09,0.97,11.71,256,539,100,28
0.17,0.95,0.11,6.29,-1.22,-7.93,0.97,10.20,227,559,103,22
0.18,0.94,0.11,4.52,-0.24,-6.96,0.97,8.30,185,576,102,17
0.18,0.96,0.11,3.97,0.06,-7.20,0.98,8.22,172,597,111,14
0.18,0.94,0.12,4.58,-0.06,-8.12,0.97,9.32,160,617,109,10
0.18,0.96,0.13,2.50,1.04,-8.30,0.99,8.73,144,639,114,7
0.19,0.93,0.15,-0.31,3.17,-10.93,0.96,11.38,146,662,123,2
0.20,1.00,0.11,-8.48,6.53,-17.64,1.03,20.63,127,691,123,0
0.19,1.04,0.14,-10.62,8.36,-25.21,1.06,28.60,123,721,126,0
0.22,1.13,0.15,-14.40,11.35,-37.84,1.16,42.05,81,762,137,0
0.22,1.36,0.12,-23.44,15.08,-61.16,1.39,67.21,42,803,139,0
0.21,1.43,0.16,-18.74,13.43,-97.66,1.45,100.34,24,820,139,0
0.18,1.66,0.18,-21.06,22.40,-154.97,1.68,157.99,15,839,146,0
0.01,1.68,0.44,-32.17,31.98,-222.66,1.74,227.23,9,861,135,0
0.21,1.56,0.39,-50.05,55.30,-280.27,1.62,290.03,5,882,102,0
0.51,1.52,0.12,-71.59,70.74,-312.19,1.60,328.02,2,899,46,0
0.52,1.31,-0.10,-78.37,53.41,-316.89,1.41,330.78,0,0,20,0
0.06,0.11,-0.37,5.49,29.72,-209.23,0.39,211.40,0,0,5,4
-0.26,0.44,-0.33,-14.71,-1.89,-34.67,0.61,37.71,0,0,0,5
-0.23,0.58,-0.15,8.42,-57.68,71.04,0.64,91.90,0,0,0,4
-0.31,0.36,-0.03,22.64,-78.06,96.68,0.47,126.31,0,0,1,5
-0.53,0.53,0.06,18.31,-61.58,157.90,0.75,170.47,0,0,1,5
-0.41,0.74,0.05,40.28,-39.06,226.56,0.85,233.41,0,0,0,6
-0.15,0.82,-0.05,43.64,-30.09,252.26,0.84,257.77,0,0,0,5
0.07,1.08,-0.05,11.66,-36.99,241.88,1.09,244.97,0,0,0,5
0.24,1.36,0.01,1.34,-51.21,238.04,1.38,243.49,0,0,0,6
0.25,1.44,0.08,-16.17,-57.92,224.37,1.46,232.29,0,0,0,5
0.21,1.80,0.23,-43.03,-41.20,204.71,1.83,213.20,0,0,0,4
0.43,1.93,0.26,-27.34,-13.67,192.32,1.99,194.74,0,0,0,4
0.94,1.53,0.19,-15.56,-1.28,184.57,1.81,185.23,0,0,0,3
1.17,1.48,0.14,-18.98,-3.72,195.13,1.89,196.09,0,0,0,4
1.44,1.14,-0.07,5.49,-13.18,176.70,1.83,177.27,0,0,0,4
1.65,0.80,-0.01,-8.91,-19.71,125.31,1.83,127.16,0,0,1,3
1.55,0.66,0.18,-20.20,-6.16,33.45,1.69,39.56,0,0,0,4
1.26,0.89,0.17,-5.49,6.16,-4.58,1.55,9.44,0,0,0,4
-0.36,0.89,-0.13,34.67,38.51,-159.42,0.97,167.63,1,413,0,44
-0.08,0.80,0.16,20.51,42.24,-199.40,0.82,204.86,1,295,0,93
0.44,1.68,0.02,15.99,13.61,-180.42,1.73,181.64,2,324,0,131
0.27,1.00,0.08,34.18,0.43,-78.98,1.04,86.06,10,345,3,143
0.20,0.93,0.10,28.99,3.30,-39.49,0.96,49.10,26,341,6,139
0.19,0.93,0.08,16.54,2.81,-20.26,0.95,26.31,43,353,8,136
0.19,0.90,0.11,4.88,1.59,-5.31,0.92,7.39,63,358,16,133
0.15,0.96,0.09,2.08,1.28,-2.75,0.97,3.67,82,367,20,132
0.14,0.96,0.09,1.77,0.92,-2.32,0.97,3.06,138,373,26,135
0.15,0.95,0.10,1.04,0.24,-3.48,0.96,3.64,152,379,33,129
0.15,0.94,0.10,-0.49,-1.16,-4.27,0.96,4.45,120,390,39,133
0.14,0.97,0.09,0.37,-0.55,-4.46,0.99,4.50,208,405,44,130
0.15,0.95,0.10,2.32,1.10,-4.27,0.97,4.98,217,417,50,127
0.15,0.96,0.10,2.99,2.01,-3.91,0.98,5.32,165,427,59,121
0.15,0.96,0.10,4.27,2.08,-5.25,0.98,7.08,230,440,65,109
0.17,0.94,0.10,5.19,1.59,-6.35,0.97,8.35,224,452,68,97
0.17,0.94,0.11,3.66,1.10,-4.76,0.96,6.11,188,468,77,82
0.16,0.95,0.11,2.26,0.49,-4.88,0.97,5.40,174,484,84,66
0.17,0.96,0.10,2.08,0.49,-4.88,0.98,5.33,179,504,89,56
0.17,0.96,0.11,2.38,0.31,-5.86,0.98,6.33,193,518,91,45
0.17,0.97,0.11,3.11,-0.24,-7.57,0.99,8.19,236,537,94,31
0.18,0.97,0.11,8.12,-1.40,-13.31,0.99,15.65,160,572,105,19
0.18,0.95,0.13,6.84,-0.73,-16.17,0.98,17.57,156,606,112,9
0.19,0.94,0.15,0.79,1.53,-16.66,0.97,16.75,144,638,115,6
0.20,0.95,0.13,-5.98,4.94,-18.62,0.98,20.17,148,667,124,2
0.22,1.02,0.12,-14.40,8.61,-24.41,1.05,29.62,114,706,127,0
0.23,1.10,0.13,-16.91,10.74,-33.69,1.13,39.20,80,755,135,0
0.24,1.16,0.15,-25.39,14.28,-55.97,1.19,63.10,49,796,140,0
0.21,1.52,0.13,-22.09,16.17,-92.53,1.54,96.50,24,823,142,0
0.20,1.57,0.17,-13.43,19.90,-136.78,1.60,138.87,14,837,148,0
0.25,1.79,0.14,-14.77,26.00,-189.88,1.81,192.22,8,859,141,0
0.15,1.97,0.31,-16.85,37.29,-288.27,2.00,291.16,4,882,113,0
0.35,1.80,0.28,-31.37,50.17,-337.95,1.85,343.09,2,896,57,0
0.62,1.61,0.11,-70.80,49.07,-338.68,1.73,349.47,0,0,23,0
-0.07,-0.32,-0.39,17.88,30.52,-245.67,0.51,248.20,0,0,9,5
-0.32,0.44,-0.39,-25.94,-16.66,-57.86,0.67,65.56,0,0,2,4
-0.37,0.55,-0.01,19.59,-88.56,66.89,0.66,112.70,0,0,2,3
-0.55,0.31,0.03,28.69,-81.18,94.67,0.63,127.96,0,0,2,3
-0.75,0.30,0.08,23.07,-43.64,150.76,0.81,158.63,0,0,1,3
-0.50,0.61,-0.00,25.88,-5.37,238.46,0.79,239.92,0,0,2,5
0.02,0.95,-0.08,7.93,-1.71,251.40,0.96,251.53,0,0,2,4
0.37,1.28,-0.07,8.12,-27.71,250.18,1.33,251.84,0,0,2,4
0.54,1.27,-0.08,1.10,-61.16,226.14,1.38,234.26,0,0,1,4
0.27,1.35,0.09,-36.44,-77.27,208.13,1.38,224.98,0,0,0,1
