-,-,-,-,-,-,-,-,-,-,-,-
'w'
0.07,1.10,-0.03,4.88,-4.39,-10.93,1.10,12.75,79,773,163,33
0.09,1.02,-0.03,33.75,-7.14,-22.89,1.03,41.40,68,791,170,18
0.12,0.94,-0.10,37.60,-12.02,-21.85,0.95,45.12,61,795,171,8
0.05,0.97,0.20,30.52,-3.91,-45.53,0.99,54.95,59,807,173,7
0.06,1.20,0.16,10.68,3.17,-63.17,1.22,64.15,48,819,171,4
0.07,1.49,0.14,-1.22,10.93,-89.78,1.50,90.45,32,847,170,3
0.09,1.61,0.02,12.08,4.76,-133.18,1.61,133.81,19,880,164,1
0.04,1.78,0.12,10.44,2.38,-185.30,1.78,185.61,10,893,154,0
0.10,2.17,-0.21,22.22,-4.88,-255.68,2.18,256.69,5,893,129,0
0.13,2.40,-0.12,64.15,-20.26,-322.20,2.40,329.15,2,898,90,0
0.34,1.14,-0.01,93.26,-16.42,-320.86,1.19,334.54,0,0,52,4
-0.00,0.87,-0.24,21.18,-23.62,-284.48,0.90,286.25,0,0,23,12
-0.97,0.64,-0.08,-27.47,-29.85,-262.57,1.16,265.69,0,0,10,15
-1.21,0.13,0.02,9.89,-9.64,-89.90,1.21,90.96,0,0,10,19
-0.65,0.29,-0.22,-4.09,17.21,92.35,0.75,94.03,0,0,6,17
-0.41,0.69,-0.11,-23.25,20.94,144.90,0.81,148.24,0,0,7,15
-0.29,0.59,-0.10,-15.26,12.08,162.17,0.67,163.33,0,0,6,15
-0.29,0.64,-0.01,-31.19,3.23,189.33,0.70,191.91,0,0,5,17
-0.23,0.92,0.11,-41.99,1.77,226.01,0.96,229.89,0,0,5,16
-0.03,1.07,0.05,-44.25,0.98,247.62,1.07,251.54,0,0,5,14
0.25,1.38,0.09,-53.65,-14.59,245.73,1.41,251.94,0,0,2,13
0.34,1.52,0.07,-46.26,-35.40,236.69,1.56,243.76,0,0,4,13
0.37,1.61,0.02,-50.23,-53.41,230.53,1.65,241.91,0,0,2,12
0.46,1.70,0.01,-67.69,-62.26,209.96,1.76,229.22,0,0,1,13
0.58,1.73,0.01,-85.82,-70.07,175.29,1.82,207.37,0,0,0,11
0.74,1.75,0.05,-98.39,-76.05,154.66,1.90,198.46,0,0,1,9
0.99,1.56,0.23,-106.99,-59.45,139.71,1.86,185.74,0,0,0,7
1.35,1.35,0.62,-123.29,12.82,83.86,2.01,149.66,0,0,0,8
2.49,0.72,1.24,-88.32,90.39,56.58,2.87,138.46,0,0,0,6
2.75,1.41,0.71,-23.50,121.52,26.92,3.17,126.67,0,0,2,5
-0.43,-0.02,0.18,272.95,78.06,-169.01,0.47,330.39,0,0,0,40
0.02,0.78,0.26,253.30,42.42,-185.12,0.82,316.59,0,0,0,73
0.27,1.19,0.23,28.20,17.94,-202.51,1.24,205.25,1,565,0,121
0.15,1.23,-0.06,-32.41,28.75,-33.94,1.24,55.03,35,540,24,146
0.06,0.88,0.09,2.08,0.98,-6.77,0.88,7.15,68,578,65,142
0.04,0.97,0.02,-5.92,1.95,0.49,0.97,6.25,78,568,73,142
0.04,1.02,-0.01,-1.71,0.37,0.18,1.02,1.76,86,564,83,142
0.04,1.00,0.01,4.46,-0.18,-0.92,1.00,4.55,84,571,89,140
0.03,0.97,0.03,3.23,-0.31,-0.73,0.97,3.33,102,571,101,146
0.03,0.99,0.02,-4.46,0.61,-0.61,0.99,4.54,118,562,106,145
0.04,1.01,-0.00,-4.33,0.49,-1.10,1.01,4.50,150,564,113,149
0.04,1.00,0.01,0.24,-0.43,-1.71,1.00,1.78,155,561,118,149
0.04,0.99,0.02,0.37,-0.85,-2.26,0.99,2.44,217,559,122,143
0.04,1.00,0.01,-2.38,-0.92,-2.93,1.00,3.88,267,560,127,143
0.05,1.03,0.00,-0.98,-1.04,-3.78,1.03,4.04,274,559,128,133
0.04,1.00,0.01,0.43,-1.83,-4.21,1.00,4.61,278,563,130,116
0.04,1.00,0.01,0.37,-2.01,-4.52,1.00,4.96,308,568,138,109
0.05,0.99,0.01,0.55,-2.14,-4.39,0.99,4.92,421,569,143,102
0.05,1.00,0.01,0.98,-2.08,-4.70,1.00,5.23,363,572,147,89
0.05,1.00,0.01,1.22,-2.08,-4.76,1.00,5.33,477,576,149,71
0.05,1.00,0.01,2.26,-3.11,-4.82,1.00,6.17,590,578,151,55
0.05,0.99,0.01,1.10,-1.95,-4.39,1.00,4.93,450,588,155,39
0.06,0.98,0.01,0.43,-1.77,-4.94,0.98,5.27,416,600,155,25
0.08,1.02,-0.02,-0.49,-3.05,-7.14,1.02,7.78,497,613,159,14
0.01,1.22,0.07,2.44,-6.84,-10.62,1.22,12.86,611,634,160,7
0.06,1.06,0.05,3.66,-6.10,-25.82,1.06,26.78,425,656,166,3
0.06,1.13,0.09,-3.72,-3.91,-37.29,1.14,37.68,466,682,167,1
0.09,1.22,0.04,-6.77,-1.40,-50.96,1.22,51.43,242,715,173,0
0.11,1.33,-0.00,-1.95,-2.87,-73.12,1.34,73.20,200,745,176,0
0.08,1.56,0.07,-3.05,-2.69,-105.35,1.56,105.43,150,790,179,0
0.07,1.76,0.14,10.31,-3.97,-179.38,1.76,179.72,64,841,177,0
0.14,2.28,-0.14,-0.92,2.08,-250.31,2.29,250.32,31,866,165,0
0.28,2.30,-0.14,10.19,-11.05,-323.12,2.32,323.47,11,873,140,0
0.39,1.96,0.00,41.08,-5.62,-339.84,2.00,342.36,3,877,84,0
-0.06,0.98,-0.21,16.42,-5.62,-317.63,1.00,318.10,1,879,35,0
-0.22,0.77,-0.26,8.12,-9.52,-297.42,0.85,297.69,0,0,18,7
-1.02,0.49,0.11,-18.86,-16.54,-243.23,1.13,244.52,0,0,6,11
-1.16,-0.11,-0.08,49.01,-4.15,-22.64,1.17,54.15,0,0,8,11
-0.66,0.09,-0.25,16.85,10.80,144.35,0.71,145.73,0,0,6,10
-0.44,0.81,-0.01,15.08,18.74,224.67,0.92,225.95,0,0,4,10
-0.11,0.68,-0.14,40.77,26.92,223.02,0.71,228.31,0,0,5,10
0.02,0.80,-0.18,20.02,33.63,227.97,0.82,231.30,0,0,1,14
0.20,1.04,-0.28,14.95,27.65,249.45,1.09,251.42,0,0,0,11
0.47,1.26,-0.30,-1.28,7.39,246.34,1.38,246.45,0,0,1,10
0.50,1.35,-0.24,-4.70,-11.96,224.49,1.46,224.85,0,0,0,10
0.42,1.38,-0.22,-14.89,-24.84,211.67,1.46,213.64,0,0,0,11
0.41,1.43,-0.22,-27.77,-31.68,200.38,1.51,204.76,0,0,2,14
0.43,1.45,-0.18,-42.85,-37.41,165.95,1.52,175.43,0,0,2,9
0.41,1.53,-0.06,-60.79,-39.55,130.19,1.58,149.03,0,0,0,8
0.58,1.57,-0.10,-67.87,-45.29,107.60,1.67,135.04,0,0,0,7
0.78,1.37,-0.20,-79.71,-61.10,110.05,1.59,148.99,0,0,0,9
0.92,1.17,0.21,-102.97,-70.43,144.47,1.50,190.88,0,0,0,7
1.42,1.28,0.95,-91.74,-30.58,139.89,2.13,170.06,0,0,4,5
3.41,3.86,1.08,34.30,51.33,41.14,5.26,74.19,0,0,0,19
-0.08,0.98,-0.28,177.31,65.86,-153.20,1.03,243.40,1,737,0,43
-0.20,0.37,0.78,117.49,97.96,-194.64,0.89,247.56,0,0,0,100
0.69,1.40,-0.05,-23.74,20.57,-148.32,1.57,151.61,1,599,0,131
0.12,0.91,-0.00,10.62,-18.13,-17.52,0.92,27.35,45,552,36,132
0.06,1.06,-0.05,2.14,-0.73,-3.60,1.07,4.25,65,579,68,132
0.05,0.98,-0.02,0.61,0.06,-1.04,0.98,1.21,71,588,78,133
0.04,1.01,-0.03,4.76,-0.18,-0.73,1.01,4.82,65,589,85,134
0.04,1.00,-0.01,6.96,-0.31,-1.04,1.00,7.04,61,598,99,137
0.04,0.97,0.00,4.03,-0.55,-0.67,0.97,4.12,73,592,106,137
0.04,0.98,-0.00,-2.81,-0.37,-0.61,0.98,2.90,79,590,109,140
0.04,1.01,-0.02,-2.75,-0.18,-0.67,1.01,2.83,98,588,111,139
0.04,1.00,-0.02,1.34,-0.61,-0.92,1.00,1.74,115,587,117,140
0.04,0.99,-0.01,2.20,-0.79,-1.04,0.99,2.56,127,595,121,137
0.03,1.02,-0.02,-0.24,-1.16,-1.65,1.02,2.03,142,599,124,137
0.04,0.99,-0.01,2.44,-0.73,-1.53,0.99,2.97,139,607,129,130
0.04,0.99,-0.00,3.78,-0.92,-1.89,0.99,4.33,138,612,131,119
0.04,1.00,-0.01,3.72,-1.04,-1.65,1.00,4.20,151,621,137,103
0.05,0.99,-0.00,3.66,-1.40,-2.14,0.99,4.47,165,630,147,93
0.05,1.00,-0.00,2.69,-1.16,-2.99,1.00,4.18,182,636,152,79
0.05,0.99,0.00,2.56,-1.71,-3.36,1.00,4.56,185,645,156,68
0.05,1.02,-0.01,2.93,-2.20,-4.46,1.02,5.77,198,653,156,52
0.10,1.04,0.01,7.93,-2.56,-8.73,1.04,12.07,209,670,163,40
0.07,1.02,-0.01,14.04,-3.17,-13.73,1.02,19.89,169,687,164,26
0.07,1.03,0.01,23.74,-4.33,-21.18,1.03,32.11,161,709,167,20
0.07,1.05,0.02,27.71,-4.94,-25.76,1.05,38.15,136,735,171,12
0.10,1.04,0.01,26.31,-4.94,-32.47,1.04,42.08,107,771,174,3
0.09,1.10,0.12,15.75,-2.20,-51.45,1.11,53.85,92,800,174,1
0.09,1.38,0.21,4.88,2.87,-70.56,1.40,70.78,55,826,179,1
0.16,1.67,-0.10,3.91,9.09,-108.28,1.68,108.73,29,863,175,1
0.08,1.59,0.08,17.82,4.64,-155.33,1.60,156.42,16,886,167,0
0.15,2.03,-0.65,25.88,-4.70,-221.25,2.14,222.81,7,889,154,0
0.12,2.27,-0.37,57.56,-20.14,-294.56,2.31,300.80,3,883,124,0
0.16,2.57,0.08,76.54,-38.27,-347.05,2.58,357.44,1,892,72,0
0.21,0.78,-0.08,76.72,-23.99,-314.51,0.81,324.62,0,0,34,5
-0.08,1.04,-0.18,9.58,-26.67,-266.42,1.06,267.92,0,0,15,11
-1.35,0.45,0.14,20.63,-8.12,-190.37,1.43,191.66,0,0,7,17
-0.88,0.28,-0.12,21.42,48.34,26.12,0.94,58.98,0,0,8,17
-0.45,0.58,-0.23,-0.18,67.02,138.85,0.78,154.18,0,0,8,12
